#Firmware: MS3 1.5.1 release     20171006 16:30BST (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,1.0,0.0,1.0,8.373,68777.97
1.0,1.0,0.0,1.0,11.613,68789.58
0.0,0.0,0.0,1.0,18.196,68807.77
0.0,1.0,1.0,1.0,9.691,68817.46
1.0,1.0,0.0,1.0,2.121,68819.58
0.0,1.0,0.0,1.0,18.199,68837.77
1.0,1.0,0.0,1.0,11.773,68849.55
0.0,0.0,0.0,1.0,18.083,68867.63
1.0,0.0,0.0,1.0,11.541,68879.17
1.0,1.0,1.0,1.0,9.589,68888.76
0.0,1.0,0.0,1.0,8.295,68897.055
1.0,1.0,0.0,1.0,11.486,68908.54
0.0,0.0,0.0,1.0,18.042,68926.58
0.0,1.0,1.0,1.0,9.685,68936.266
1.0,1.0,0.0,1.0,2.114,68938.38
0.0,1.0,0.0,1.0,18.318,68956.7
1.0,1.0,0.0,1.0,12.024,68968.73
0.0,0.0,0.0,1.0,18.492,68987.22
1.0,0.0,0.0,1.0,11.818,68999.04
1.0,1.0,1.0,1.0,9.832,69008.87
0.0,1.0,0.0,1.0,8.538,69017.41
1.0,1.0,0.0,1.0,11.839,69029.24
0.0,0.0,0.0,1.0,18.48,69047.72
0.0,1.0,1.0,1.0,9.798,69057.516
1.0,1.0,0.0,1.0,2.144,69059.66
0.0,1.0,0.0,1.0,18.311,69077.97
1.0,1.0,0.0,1.0,11.806,69089.77
0.0,0.0,0.0,1.0,18.173,69107.945
1.0,0.0,0.0,1.0,11.632,69119.58
1.0,1.0,1.0,1.0,9.661,69129.24
0.0,1.0,0.0,1.0,8.379,69137.625
1.0,1.0,0.0,1.0,11.615,69149.24
0.0,0.0,0.0,1.0,18.26,69167.5
0.0,1.0,1.0,1.0,9.811,69177.31
1.0,1.0,0.0,1.0,2.152,69179.46
0.0,1.0,0.0,1.0,18.608,69198.07
1.0,1.0,0.0,1.0,12.214,69210.28
